email,password,role
admin@example.com,k_6YDOcYQpV3Df,ADMIN
victorthomas@example.com,eK*cBphzbID2,CUSTOMER
mandy91@example.org,^q*^A1KC9hz!,CUSTOMER
georgelouis@example.com,CvjL1@OfM@z2,CUSTOMER
probson@example.net,^^TRZfpiz)0f,CUSTOMER
scott18@example.net,P1XuQjgy*ew5,CUSTOMER
marcyoung@example.net,o725Crcq+00B,CUSTOMER
ellie19@example.org,0oob1ZJ5(oRS,CUSTOMER
qjohnson@example.org,r7$MVIR8!%Mt,CUSTOMER
knightlynn@example.net,5j*noie+0&8Y,CUSTOMER
geraldlewis@example.net,o$6wc@Kj&nOF,CUSTOMER
gerardmacdonald@example.net,r2M3P6Bq_*O7,CUSTOMER
jbaker@example.net,_s_vz0Ajn5EU,CUSTOMER
uanderson@example.com,OvJ&&x#e!6#L,CUSTOMER
arnoldnicole@example.com,#oS2*qQyoc$2,CUSTOMER
manninggeorgina@example.org,N0E85dKf!IQt,CUSTOMER
ljones@example.com,R6XeofTz)vxT,CUSTOMER
fbaxter@example.org,1ZKhh2vM%dnF,CUSTOMER
bennettrosie@example.net,H+fe7Vpnxt_7,CUSTOMER
zkaur@example.org,@G0o3PAsh&iJ,CUSTOMER
abduljohnson@example.org,5243w(Dvw_M(,CUSTOMER
rhodessarah@example.net,BC@ULCae^J$4,CUSTOMER
charlotte37@example.com,&5H*ve2I*!w8,CUSTOMER
harrisonvanessa@example.org,D3_G5L9jCtm#,CUSTOMER
ianmitchell@example.com,7e6!^!Kw#&#1,CUSTOMER
oliviaharrison@example.org,0s3Guwtnr_!Q,CUSTOMER
molly03@example.org,4#a#wTKB%V1J,CUSTOMER
tonybrown@example.org,y5J*Olq)$RLy,CUSTOMER
harriet15@example.net,ZVqEvu+p*24G,CUSTOMER
wtaylor@example.net,^*8Etpo(Iq6C,CUSTOMER
heatherelliott@example.org,C@Dvgc_!35*c,CUSTOMER
hudsoneric@example.com,D+C6D#sT7zVV,CUSTOMER
clive82@example.org,07R@4axd@W(#,CUSTOMER
sbarnes@example.com,Ds#*8Vi8!f6o,CUSTOMER
martin71@example.com,6)9#Ax4y+t+L,CUSTOMER
kdyer@example.com,)8$csdJ0s2YG,CUSTOMER
pamelasummers@example.com,5&kJn7j8%IRW,CUSTOMER
joanna37@example.org,wSr^yOayJ_W2,CUSTOMER
anthony14@example.org,I@bl6Oy1G!oP,CUSTOMER
russell69@example.net,n9Y$npw!_97p,CUSTOMER
christineking@example.net,f9eQEuId)cK),CUSTOMER
kkennedy@example.com,r+8j5Czs3OCf,CUSTOMER
daniellerichards@example.org,R+C3RZXsqmz2,CUSTOMER
glencook@example.org,hn9R2YnE%r#g,CUSTOMER
fiona81@example.org,(5YpZwScrz9f,CUSTOMER
sylvia16@example.org,#$d3K3+xe(jf,CUSTOMER
tony10@example.org,E@@CosAJgH6R,CUSTOMER
kmartin@example.net,9E3%Zw2y0)Xb,CUSTOMER
tmurphy@example.net,aN2AuEzy&+_D,CUSTOMER
kieranmckenzie@example.com,5yl&8UmPG_89,CUSTOMER
carolwilliams@example.net,uBFCbtgAN#8u,CUSTOMER
vincentwhittaker@example.org,oO$Q8LUqrWBl,CUSTOMER
ybell@example.net,qE3$fwHl9$(U,CUSTOMER
reesleigh@example.com,Y4_!c8Bn#aFT,CUSTOMER
twright@example.com,_6HA@Ddy@gib,CUSTOMER
richardsbilly@example.com,EeGTiW8U*2SX,CUSTOMER
simpsoncraig@example.org,c&A&j2Op&Wb3,CUSTOMER
stewart70@example.org,Z7sBCIdG#ehf,CUSTOMER
claytonstuart@example.com,mUbWhKhs4+7Y,CUSTOMER
elliotelliott@example.org,#us%UPuNt6vR,CUSTOMER
stevenstracey@example.net,@jdY3*Pa8z(Y,CUSTOMER
srees@example.org,rDMem)4ow6I^,CUSTOMER
ronald87@example.com,Na+G8QwsQ(Wg,CUSTOMER
opage@example.org,w)y0RRv#2wxt,CUSTOMER
